"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8030","Logout User","","Thu Jun 12 17:30:21 GMT 2025","passed","Thu Jun 12 17:30:29 GMT 2025","","Account Testcases","",""
"","6672","Search Products and Verify Cart After Login","","Thu Jun 12 17:31:52 GMT 2025","passed","Thu Jun 12 17:31:59 GMT 2025","","Product Page test cases","",""
"","1121","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","Thu Jun 12 17:31:31 GMT 2025","passed","Thu Jun 12 17:31:32 GMT 2025","","Header feature  test","",""
"","10143","Download Invoice after purchase order","","Thu Jun 12 17:31:01 GMT 2025","passed","Thu Jun 12 17:31:11 GMT 2025","","Check out test cases","",""
"","13648","Register User","","Thu Jun 12 17:30:04 GMT 2025","passed","Thu Jun 12 17:30:18 GMT 2025","","Account Testcases","",""
"","8979","Place Order: Register before Checkout","","Thu Jun 12 17:30:52 GMT 2025","passed","Thu Jun 12 17:31:01 GMT 2025","","Check out test cases","",""
"","2870","Login User with incorrect email and password","","Thu Jun 12 17:30:18 GMT 2025","passed","Thu Jun 12 17:30:21 GMT 2025","","Account Testcases","",""
"","3334","Search Product","","Thu Jun 12 17:31:41 GMT 2025","passed","Thu Jun 12 17:31:45 GMT 2025","","Product Page test cases","",""
"","2003","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","Thu Jun 12 17:31:29 GMT 2025","passed","Thu Jun 12 17:31:31 GMT 2025","","Header feature  test","",""
"","1629","API Test - Register","","Thu Jun 12 17:30:32 GMT 2025","passed","Thu Jun 12 17:30:34 GMT 2025","","API Test Dependency","",""
"","5634","Contact Us Form","","Thu Jun 12 17:31:17 GMT 2025","passed","Thu Jun 12 17:31:23 GMT 2025","","Header feature  test","",""
"","10944","Place Order: Register while Checkout","","Thu Jun 12 17:30:41 GMT 2025","passed","Thu Jun 12 17:30:52 GMT 2025","","Check out test cases","",""
"","3368","Register User with existing email","","Thu Jun 12 17:30:29 GMT 2025","passed","Thu Jun 12 17:30:32 GMT 2025","","Account Testcases","",""
"","2373","Verify Subscription in Cart page","","Thu Jun 12 17:31:26 GMT 2025","passed","Thu Jun 12 17:31:29 GMT 2025","","Header feature  test","",""
"","2393","Remove Products From Cart","","Thu Jun 12 17:32:09 GMT 2025","passed","Thu Jun 12 17:32:11 GMT 2025","","Home Page test cases","",""
"","1483","Verify Test Cases Page","","Thu Jun 12 17:31:23 GMT 2025","passed","Thu Jun 12 17:31:24 GMT 2025","","Header feature  test","",""
"","3493","View & Cart Brand Products","","Thu Jun 12 17:31:48 GMT 2025","passed","Thu Jun 12 17:31:52 GMT 2025","","Product Page test cases","",""
"","3463","Verify All Products and product detail page","","Thu Jun 12 17:31:38 GMT 2025","passed","Thu Jun 12 17:31:41 GMT 2025","","Product Page test cases","",""
"","1","Login User with correct email and password","","Thu Jun 12 17:30:18 GMT 2025","skipped","Thu Jun 12 17:30:18 GMT 2025","","Account Testcases","",""
"","3321","Verify Product quantity in Cart","","Thu Jun 12 17:32:06 GMT 2025","passed","Thu Jun 12 17:32:09 GMT 2025","","Home Page test cases","",""
"","6779","Add review on product","","Thu Jun 12 17:31:59 GMT 2025","passed","Thu Jun 12 17:32:06 GMT 2025","","Product Page test cases","",""
"","1712","Add to cart from Recommended items","","Thu Jun 12 17:32:14 GMT 2025","passed","Thu Jun 12 17:32:15 GMT 2025","","Home Page test cases","",""
"","1711","Verify Subscription in home page","","Thu Jun 12 17:31:24 GMT 2025","passed","Thu Jun 12 17:31:26 GMT 2025","","Header feature  test","",""
"","1648","API Test - Login","","Thu Jun 12 17:30:34 GMT 2025","passed","Thu Jun 12 17:30:36 GMT 2025","","API Test Dependency","",""
"","2227","View Category Products","","Thu Jun 12 17:32:11 GMT 2025","passed","Thu Jun 12 17:32:14 GMT 2025","","Home Page test cases","",""
"","3606","Add Products in Cart","","Thu Jun 12 17:31:45 GMT 2025","passed","Thu Jun 12 17:31:48 GMT 2025","","Product Page test cases","",""
