"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5002","Logout User","","Tue Jul 22 14:52:31 GMT 2025","passed","Tue Jul 22 14:52:36 GMT 2025","","Account Testcases","",""
"","12449","Place Order: Register while Checkout","","Tue Jul 22 14:52:55 GMT 2025","passed","Tue Jul 22 14:53:07 GMT 2025","","Check out test cases","",""
"","1317","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","Tue Jul 22 14:53:42 GMT 2025","passed","Tue Jul 22 14:53:43 GMT 2025","","Header feature  test","",""
"","2819","Add Products in Cart","","Tue Jul 22 14:53:55 GMT 2025","passed","Tue Jul 22 14:53:58 GMT 2025","","Product Page test cases","",""
"","9836","Download Invoice after purchase order","","Tue Jul 22 14:53:16 GMT 2025","passed","Tue Jul 22 14:53:26 GMT 2025","","Check out test cases","",""
"","1606","Add to cart from Recommended items","","Tue Jul 22 14:54:18 GMT 2025","passed","Tue Jul 22 14:54:20 GMT 2025","","Home Page test cases","",""
"","3726","Login User with correct email and password.","","Tue Jul 22 14:52:24 GMT 2025","passed","Tue Jul 22 14:52:28 GMT 2025","","Account Testcases","",""
"","2454","Search Product","","Tue Jul 22 14:53:53 GMT 2025","passed","Tue Jul 22 14:53:55 GMT 2025","","Product Page test cases","",""
"","3162","Add review on product","","Tue Jul 22 14:54:08 GMT 2025","passed","Tue Jul 22 14:54:11 GMT 2025","","Product Page test cases","",""
"","1263","API Test - Login","","Tue Jul 22 14:52:46 GMT 2025","passed","Tue Jul 22 14:52:48 GMT 2025","","API Test Dependency","",""
"","1752","Verify Subscription in home page","","Tue Jul 22 14:53:38 GMT 2025","passed","Tue Jul 22 14:53:40 GMT 2025","","Header feature  test","",""
"","5938","Search Products and Verify Cart After Login","","Tue Jul 22 14:54:02 GMT 2025","passed","Tue Jul 22 14:54:08 GMT 2025","","Product Page test cases","",""
"","1058","API Test - Get User","","Tue Jul 22 14:52:48 GMT 2025","passed","Tue Jul 22 14:52:49 GMT 2025","","API Test Dependency","",""
"","1100","API Test - Delete User","","Tue Jul 22 14:52:49 GMT 2025","passed","Tue Jul 22 14:52:50 GMT 2025","","API Test Dependency","",""
"","2917","Login User with incorrect email and password","","Tue Jul 22 14:52:28 GMT 2025","passed","Tue Jul 22 14:52:31 GMT 2025","","Account Testcases","",""
"","1659","Remove Products From Cart","","Tue Jul 22 14:54:13 GMT 2025","passed","Tue Jul 22 14:54:15 GMT 2025","","Home Page test cases","",""
"","1421","Verify Test Cases Page","","Tue Jul 22 14:53:37 GMT 2025","passed","Tue Jul 22 14:53:38 GMT 2025","","Header feature  test","",""
"","2938","View Category Products","","Tue Jul 22 14:54:15 GMT 2025","passed","Tue Jul 22 14:54:18 GMT 2025","","Home Page test cases","",""
"","8646","Place Order: Register before Checkout","","Tue Jul 22 14:53:07 GMT 2025","passed","Tue Jul 22 14:53:16 GMT 2025","","Check out test cases","",""
"","11106","Register User","","Tue Jul 22 14:52:13 GMT 2025","passed","Tue Jul 22 14:52:24 GMT 2025","","Account Testcases","",""
"","2206","API Test - Register","","Tue Jul 22 14:52:44 GMT 2025","passed","Tue Jul 22 14:52:46 GMT 2025","","API Test Dependency","",""
"","958","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","Tue Jul 22 14:53:43 GMT 2025","passed","Tue Jul 22 14:53:44 GMT 2025","","Header feature  test","",""
"","2382","Register User with existing email","","Tue Jul 22 14:52:36 GMT 2025","passed","Tue Jul 22 14:52:39 GMT 2025","","Account Testcases","",""
"","5178","Contact Us Form","","Tue Jul 22 14:53:32 GMT 2025","passed","Tue Jul 22 14:53:37 GMT 2025","","Header feature  test","",""
"","2997","Verify All Products and product detail page","","Tue Jul 22 14:53:50 GMT 2025","passed","Tue Jul 22 14:53:53 GMT 2025","","Product Page test cases","",""
"","2171","Verify Product quantity in Cart","","Tue Jul 22 14:54:11 GMT 2025","passed","Tue Jul 22 14:54:13 GMT 2025","","Home Page test cases","",""
"","3061","View & Cart Brand Products","","Tue Jul 22 14:53:58 GMT 2025","passed","Tue Jul 22 14:54:01 GMT 2025","","Product Page test cases","",""
"","1860","Verify Subscription in Cart page","","Tue Jul 22 14:53:40 GMT 2025","passed","Tue Jul 22 14:53:42 GMT 2025","","Header feature  test","",""
