"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2232","Remove Products From Cart","","Tue Jun 10 15:16:01 GMT 2025","passed","Tue Jun 10 15:16:03 GMT 2025","","Home Page test cases","",""
"","2917","Add Products in Cart","","Tue Jun 10 15:15:41 GMT 2025","passed","Tue Jun 10 15:15:44 GMT 2025","","Product Page test cases","",""
"","5844","Search Products and Verify Cart After Login","","Tue Jun 10 15:15:49 GMT 2025","passed","Tue Jun 10 15:15:55 GMT 2025","","Product Page test cases","",""
"","5372","Contact Us Form","","Tue Jun 10 15:15:16 GMT 2025","passed","Tue Jun 10 15:15:21 GMT 2025","","Header feature  test","",""
"","3405","Add review on product","","Tue Jun 10 15:15:55 GMT 2025","passed","Tue Jun 10 15:15:58 GMT 2025","","Product Page test cases","",""
"","12618","Download Invoice after purchase order","","Tue Jun 10 15:14:58 GMT 2025","passed","Tue Jun 10 15:15:10 GMT 2025","","Check out test cases","",""
"","4146","View & Cart Brand Products","","Tue Jun 10 15:15:44 GMT 2025","passed","Tue Jun 10 15:15:48 GMT 2025","","Product Page test cases","",""
"","3732","Verify All Products and product detail page","","Tue Jun 10 15:15:34 GMT 2025","passed","Tue Jun 10 15:15:38 GMT 2025","","Product Page test cases","",""
"","2026","Verify Subscription in Cart page","","Tue Jun 10 15:15:24 GMT 2025","passed","Tue Jun 10 15:15:26 GMT 2025","","Header feature  test","",""
"","952","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","Tue Jun 10 15:15:28 GMT 2025","passed","Tue Jun 10 15:15:29 GMT 2025","","Header feature  test","",""
"","1514","Verify Subscription in home page","","Tue Jun 10 15:15:23 GMT 2025","passed","Tue Jun 10 15:15:24 GMT 2025","","Header feature  test","",""
"","2828","Search Product","","Tue Jun 10 15:15:38 GMT 2025","passed","Tue Jun 10 15:15:41 GMT 2025","","Product Page test cases","",""
"","14318","Place Order: Register while Checkout","","Tue Jun 10 15:14:34 GMT 2025","passed","Tue Jun 10 15:14:49 GMT 2025","","Check out test cases","",""
"","2643","Register User with existing email","","Tue Jun 10 15:14:27 GMT 2025","passed","Tue Jun 10 15:14:29 GMT 2025","","Account Testcases","",""
"","1597","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","Tue Jun 10 15:15:26 GMT 2025","passed","Tue Jun 10 15:15:28 GMT 2025","","Header feature  test","",""
"","8704","Place Order: Register before Checkout","","Tue Jun 10 15:14:49 GMT 2025","passed","Tue Jun 10 15:14:58 GMT 2025","","Check out test cases","",""
"","3826","Logout User","","Tue Jun 10 15:14:23 GMT 2025","passed","Tue Jun 10 15:14:26 GMT 2025","","Account Testcases","",""
"","1794","Add to cart from Recommended items","","Tue Jun 10 15:16:06 GMT 2025","passed","Tue Jun 10 15:16:07 GMT 2025","","Home Page test cases","",""
"","2660","View Category Products","","Tue Jun 10 15:16:03 GMT 2025","passed","Tue Jun 10 15:16:06 GMT 2025","","Home Page test cases","",""
"","3875","Login User with correct email and password","","Tue Jun 10 15:14:16 GMT 2025","passed","Tue Jun 10 15:14:20 GMT 2025","","Account Testcases","",""
"","2394","Verify Product quantity in Cart","","Tue Jun 10 15:15:58 GMT 2025","passed","Tue Jun 10 15:16:01 GMT 2025","","Home Page test cases","",""
"","2386","Login User with incorrect email and password","","Tue Jun 10 15:14:20 GMT 2025","passed","Tue Jun 10 15:14:23 GMT 2025","","Account Testcases","",""
"","1329","Verify Test Cases Page","","Tue Jun 10 15:15:21 GMT 2025","passed","Tue Jun 10 15:15:23 GMT 2025","","Header feature  test","",""
"","11297","Register User","","Tue Jun 10 15:14:05 GMT 2025","passed","Tue Jun 10 15:14:16 GMT 2025","","Account Testcases","",""
